year_month,PI,meter,month_ts
2024-03,0.785903890200593,solar.bun_lims1#realenergyintotheload#kwh,2024-03-01
2024-04,0.8268843945740458,solar.bun_lims1#realenergyintotheload#kwh,2024-04-01
2024-05,0.8809288372367305,solar.bun_lims1#realenergyintotheload#kwh,2024-05-01
2024-06,0.8239014632499311,solar.bun_lims1#realenergyintotheload#kwh,2024-06-01
2024-07,0.17931780283064497,solar.bun_lims1#realenergyintotheload#kwh,2024-07-01
2024-08,0.8697734605597055,solar.bun_lims1#realenergyintotheload#kwh,2024-08-01
2024-09,0.94864586303048,solar.bun_lims1#realenergyintotheload#kwh,2024-09-01
2024-10,1.0311343208624484,solar.bun_lims1#realenergyintotheload#kwh,2024-10-01
2024-11,1.0368779631281804,solar.bun_lims1#realenergyintotheload#kwh,2024-11-01
2024-12,1.0829039979753974,solar.bun_lims1#realenergyintotheload#kwh,2024-12-01
2025-01,1.1245112295259652,solar.bun_lims1#realenergyintotheload#kwh,2025-01-01
2025-02,1.163848776039804,solar.bun_lims1#realenergyintotheload#kwh,2025-02-01
2025-03,0.9894972323629468,solar.bun_lims1#realenergyintotheload#kwh,2025-03-01
2025-04,0.9238703931947445,solar.bun_lims1#realenergyintotheload#kwh,2025-04-01
2025-05,1.0978043039718584,solar.bun_lims1#realenergyintotheload#kwh,2025-05-01
2025-06,0.8416318699306766,solar.bun_lims1#realenergyintotheload#kwh,2025-06-01
2025-07,0.7214002231993083,solar.bun_lims1#realenergyintotheload#kwh,2025-07-01
2025-08,0.966470297311169,solar.bun_lims1#realenergyintotheload#kwh,2025-08-01
2020-01,9.767337444257572,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,2020-01-01
2020-02,8.690550479213574,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,2020-02-01
2020-03,7.608938766801267,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,2020-03-01
2020-04,6.269670142358118,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,2020-04-01
2020-05,4.048120007375436,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,2020-05-01
2020-06,1.7535431734514817,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,2020-06-01
2020-07,1.0236720319258716,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,2020-07-01
2020-08,1.2064982917705678,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,2020-08-01
2020-09,1.1754645320550376,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,2020-09-01
2020-10,0.9819203036990154,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,2020-10-01
